image1,image2,kommentar,datum,instrument,setup,regler,direction,outcome,rr_logisk,entry_logic,exit_logic,premarket,obalans,återtesten,reversal_rules,continuation_rules,rr_max,entry_price,exit_price,stop_loss,take_profit,quantity,exit_date,fees,gross_pl,net_pl,exit_price_max,journal_id
/static/images/f12ea951-eb1c-40f4-93b8-3a39077d6995_2025-06-01 23_36_51-PaperTrade 2023-24 - Google Presentationer.png,/static/images/65021f42-cced-40a8-8dac-b011a7dc5a0b_2025-06-01 23_37_04-PaperTrade 2023-24 - Google Presentationer.png,,2025-06-06,de40,continuation,,short,sl,-1.04,,,,,,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",1.46,24237.7,24245.3,24245.0,24211.66,1.1,2025-06-06,0.0,-8.36,-8.36,,
/static/images/6c2d3514-1238-4878-bf0e-9af3c2726cb3_2025-06-04 23_17_16-PaperTrade 2023-24 - Google Presentationer.png,/static/images/d7615849-0305-4dab-8539-f59243980ef0_2025-06-04 23_17_34-PaperTrade 2023-24 - Google Presentationer.png,En ny kommentar,2023-08-14,de40,continuation,,long,tp,2.0,ÅT Säljare tappar,Efter ny topp/botten,,,Hämtar likviditet i min zon,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",8.0,15837.0,15860.0,15830.0,15860.0,1.0,2023-08-14,0.0,23.0,23.0,,
/static/images/76d6e6c5-1cd3-44fd-89a5-ae9856679d57_2025-06-04 23_04_23-PaperTrade 2023-24 - Google Presentationer.png,/static/images/536c15e5-f090-4d60-bb36-17ab028507a5_2025-06-04 23_04_35-PaperTrade 2023-24 - Google Presentationer.png,Troligen ingen fill denna gång,2023-08-11,de40,continuation,,,none,,ÅT Säljare tappar,,,,,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",,,,,,,,,,,,
/static/images/bd2822a6-9265-4f34-9c57-b9d5ce1b3aaa_2025-06-04 22_55_49-PaperTrade 2023-24 - Google Presentationer.png,/static/images/b25954a7-8203-4b4b-95f2-5ed059f3a879_2025-06-04 22_56_04-PaperTrade 2023-24 - Google Presentationer.png,,2023-08-10,de40,continuation,,long,sl,3.0,ÅT Säljare tappar,Efter ny topp/botten,,,,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",1,,,,,,,,,,,
/static/images/59b90b37-ba8f-4ba2-b99c-efaaf0791e6a_2025-06-04 22_45_34-PaperTrade 2023-24 - Google Presentationer.png,/static/images/bbbe6b72-d87a-43ff-a3ea-c11335c0e05a_2025-06-04 22_45_47-PaperTrade 2023-24 - Google Presentationer.png,,2023-08-09,de40,continuation,,long,tp,4.0,ÅT Säljare tappar,Efter ny topp/botten,,,Hämtar likviditet i min zon,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",5,,,,,,,,,,,
/static/images/71338044-2b7d-4740-bba9-7e7909146841_2025-06-04 17_19_58-PaperTrade 2023-24 - Google Presentationer.png,/static/images/215aefb6-3621-43e6-a1aa-a43e7cede781_2025-06-04 17_20_10-PaperTrade 2023-24 - Google Presentationer.png,,2023-08-08,de40,reversal,,long,tp,2.5,ÅT Säljare tappar,Innan ny topp/botten,,,Hämtar likviditet i min zon,"Tidigare zon tas ut, Stark avsats, BAS - IBI/PBI, Ej återtest från PBI",,7,,,,,,,,,,,
/static/images/e116b920-e7da-4329-9ac8-771a0003f4eb_2025-06-04 22_38_05-PaperTrade 2023-24 - Google Presentationer.png,/static/images/fc408b26-03ba-4f30-a2a8-ad910bc98d6c_2025-06-04 22_38_20-PaperTrade 2023-24 - Google Presentationer.png,,2023-08-07,de40,continuation,,long,tp,3.0,ÅT Säljare tappar,Efter ny topp/botten,,,Hämtar likviditet i min zon,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",5,,,,,,,,,,,
/static/images/8cb80ab4-2fc8-4f16-9763-619d6525a111_2025-06-04 17_09_26-PaperTrade 2023-24 - Google Presentationer.png,/static/images/3526106d-4ec9-431c-87b3-c2915868835d_2025-06-04 17_09_43-PaperTrade 2023-24 - Google Presentationer.png,Ingen trade idag,2023-08-04,de40,,,,none,,,,,,,,,,,,,,,,,,,,
/static/images/53bfff16-5d84-4540-bb62-b221ccb70537_2025-06-04 16_02_52-PaperTrade 2023-24 - Google Presentationer.png,/static/images/6a13b197-4910-4a4f-b598-33d30c05f8a8_2025-06-04 16_03_09-PaperTrade 2023-24 - Google Presentationer.png,Nummer 2-1,2023-08-03,de40,continuation,,short,tp,3.0,ÅT Köpare tappar,Efter ny topp/botten,,,Hämtar likviditet i min zon,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats",3.5,,,,,,,,,,,
/static/images/7bd30af3-8151-44da-bb2c-ee172b703dd5_2025-06-04 15_55_39-PaperTrade 2023-24 - Google Presentationer.png,/static/images/ad3d5838-e4ed-4c8f-8338-10d4600b7013_2025-06-04 15_56_08-PaperTrade 2023-24 - Google Presentationer.png,,2023-08-02,de40,reversal,,long,tp,2.5,ÅT Säljare tappar,Innan ny topp/botten,,,Hämtar likviditet i min zon,"Tidigare zon tas ut, Stark avsats, BAS - IBI/PBI, Ej återtest från PBI",,3,,,,,,,,,,,
/static/images/614091e1-53d2-47e0-9100-831333b30dfa_2025-05-26 08_27_59-Window.png,/static/images/4a76e125-1ea2-45a1-9f62-460a4ae60d2f_2025-05-26 08_28_22-Window.png,,2023-08-01,de40,continuation,,short,tp,3.0,ÅT Köpare tappar,Efter ny topp/botten,,,Hämtar likviditet i min zon,,"Köpare/Säljare kommer in och tappar, Ny topp/botten, Stark avsats, BAS - PBI",8,,,,,,,,,,,
/static/images/25552fce-37d7-4b54-8fb2-7bfe68e42d45_2025-05-24 17_58_51-Window.png,/static/images/df8dca2d-fe5a-4e4c-ac5b-1b4fcbb0c870_2025-05-24 17_59_13-Window.png,"Väntar tills jag får första kontroll, så jag har rikningen. När nivån tas ut så tar jag en reversal",2023-07-31,de40,reversal,,long,tp,3.0,ÅT Säljare tappar,Innan ny topp/botten,,,Hämtar likviditet i min zon,"Tidigare zon tas ut, Stark avsats, BAS - IBI/PBI, Ej återtest från PBI",,5,,,,,,,,,,,
